species,strain,reference_strain,isotype,previous_names,sequenced,warning_message,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country
C. briggsae,ECA1143,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1424,S-07783,21.341914,-157.809842,Wild forest,Fruit,NA,22.2,23.3,NA,88.9,https://web.fulcrumapp.com/photos/view?photos=46442bd3-1fbd-4774-8d75-7f7bcbdcc69c,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/7/18,NA,NA,Hawaii,United States
C. briggsae,ECA1144,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1424,S-07786,21.341914,-157.809842,Wild forest,Fruit,NA,22.2,23.3,NA,88.9,https://web.fulcrumapp.com/photos/view?photos=46442bd3-1fbd-4774-8d75-7f7bcbdcc69c,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/7/18,NA,NA,Hawaii,United States
C. briggsae,ECA1145,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1424,S-07787,21.341914,-157.809842,Wild forest,Fruit,NA,22.2,23.3,NA,88.9,https://web.fulcrumapp.com/photos/view?photos=46442bd3-1fbd-4774-8d75-7f7bcbdcc69c,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/7/18,NA,NA,Hawaii,United States
C. briggsae,ECA1146,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1424,S-07788,21.341914,-157.809842,Wild forest,Fruit,NA,22.2,23.3,NA,88.9,https://web.fulcrumapp.com/photos/view?photos=46442bd3-1fbd-4774-8d75-7f7bcbdcc69c,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/7/18,NA,NA,Hawaii,United States
C. briggsae,ECA1147,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1432,S-07918,21.341903,-157.809739,Wild forest,Leaf litter,NA,22.3,24,NA,87.5,https://web.fulcrumapp.com/photos/view?photos=159bea5c-cd69-4689-b5b5-3db0c55f9813,qicongsheng2019@u.northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. briggsae,ECA1148,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3660,S-07930,21.342875,-157.823939,Wild forest,Fruit,NA,23.1,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=799682d7-b203-4fbe-af9c-ad1b7299c948,erik.andersen@northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. briggsae,ECA1149,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3660,S-07931,21.342875,-157.823939,Wild forest,Fruit,NA,23.1,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=799682d7-b203-4fbe-af9c-ad1b7299c948,erik.andersen@northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. briggsae,ECA1150,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3660,S-07932,21.342875,-157.823939,Wild forest,Fruit,NA,23.1,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=799682d7-b203-4fbe-af9c-ad1b7299c948,erik.andersen@northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. briggsae,ECA1151,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3661,S-07936,21.343047,-157.823253,Wild forest,Fruit,NA,22.8,23.3,NA,96.3,https://web.fulcrumapp.com/photos/view?photos=ac0df661-fe54-46e9-ba73-1f88a286672a,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. briggsae,ECA1152,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3661,S-08000,21.343047,-157.823253,Wild forest,Fruit,NA,22.8,23.3,NA,96.3,https://web.fulcrumapp.com/photos/view?photos=ac0df661-fe54-46e9-ba73-1f88a286672a,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
